ID,Nombre,Categoria,Precio_Normal,Precio_Mayoreo,Precio_Caja,Piezas_Por_Caja,Imagen_URL,Etiqueta,Descripcion
bc1,Bolsa de Mano Premium Elegante,bolsas-carteras,280,180,140,12,https://lh3.googleusercontent.com/pw/AP1GczPrBNH2gRxUrfHs8s0nK_2yncDetmUtk39oRVi4q3OZPcdtEOWxWmiZv6nKKHruwVkOi3_GvREFzF49xdVy9ELrdoe63KOYLkXg0ziTLLvC2h2CMxE,Contenedor,Bolsa de mano de tactopiel de alta resistencia con cierres y herrajes dorados reforzados.
bc2,Cartera de Dama Minimalista,bolsas-carteras,120,65,48,24,https://lh3.googleusercontent.com/pw/AP1GczOEnG_IJApaPLGgmjjvhJACli9SW-tRPAVre72l_EMvt7YR0W0mAo-vVbpSN9y1cl_R7G3x8l8QkIYK56g0Yjq3GkEHOTDvesJtIgq0fjhtTYV_-tc,Oferta,Cartera de mano ultra compacta con multiples tarjeteros monedero con cierre y diseno elegante.
bc3,Bolsa Mochila 2 en 1 Multifuncional,bolsas-carteras,250,150,110,12,https://lh3.googleusercontent.com/pw/AP1GczNN9WkFGc7c_nyrHDyR_CpYZs199udTaD39fNbcrdlh3zb6Piq0DylDMLzjHTl43ni4gkksSWU8ThcG3acqKQo3w-V2moWMEyJNFxUvwSKvIn2VkFM,Mas Vendido,Bolsa convertible a mochila escolar o de viaje diseno impermeable de nylon suave.
bc4,Cartera de Caballero en Piel Sintetica,bolsas-carteras,90,45,32,30,https://lh3.googleusercontent.com/pw/AP1GczMLxQ2lgE2p5OU-abzJmaniire97gCpTUDHmhNo5cIpx_Fj0wY_1Z9_BsJooWhdHyn4Y9nbRrC3nwIFxNnRcc8gDekgTWHs0znp2u6E95eGhgQwQWA,Oferta,Cartera clasica para caballero ranuras para tarjetas multiples y proteccion RFID anti-clonado.
bc5,Bolsa Tote Casual de Algodon,bolsas-carteras,180,110,85,15,https://lh3.googleusercontent.com/pw/AP1GczMj37B6yCPFTmC1dUOyG-XNw_sFrB0dYa4I2SO48SouwCi4SvHOpqeVbMZUpITXdtATQ5WcvMDsZfvVutGOQri7wFJd06zj7VPKEGNi2p1e1OLn6Ew,Novedad,Bolsa tipo Tote ideal para playa compras o salidas casuales. Tela ultra lavable y resistente.
bc6,Bandolera Juvenil de Moda,bolsas-carteras,210,130,95,12,https://lh3.googleusercontent.com/pw/AP1GczOcc9XJOpftOAiOqACL0O4AdH9vLUN7dmu8uB_5suiOJSP0djLFoGkEbs-AewgRD9TlWD7RgVrbkraflZK5x4T8BUBfSIEnT7rEtrzX5d4v-pIi4xA,Tendencia,Bolsa bandolera cruzada con correa ajustable estampada compartimento con cierre suave.
bc7,Cartera Monedero con Cierre de Boton,bolsas-carteras,100,55,40,24,https://lh3.googleusercontent.com/pw/AP1GczM4Mnl4PtUnrPolIfPzBXozTsBfmoANbuZuie_XiPUiXIH9juJsgUQc5NOOVpCinGsSRlnVVl9Rf8wv-RyfTd5LSGYEhl5etehucK2mUscmHMRd5LM,Oferta,Cartera monedero compacta con costuras reforzadas boton metalico y diseno elegante.
bc8,Bolsa de Hombro Texturizada,bolsas-carteras,290,190,145,10,https://lh3.googleusercontent.com/pw/AP1GczNDS7gL1qIQZ_Pz5aJeziWAXOX1AfERRDNEOYw1Lyw2ngMFpELHv2CJ1Cc7fRfrgeUR3WRdweNVz6Ed2zDMmxkxrqDKVnvqguwWiz0TwQecMT7r-lM,Importacion,Bolsa de hombro de tactopiel grabada con patrones geometricos y doble compartimento.
bc9,Neceser de Viaje para Maquillaje,bolsas-carteras,140,80,60,20,https://lh3.googleusercontent.com/pw/AP1GczP0ck5zezBnrbSSITjKiWrB8vxYEKNjhWep5piyc0sC3IYLOn8ZXMiH1kzXNDrrMpbsVNs0n_Md8FzaOxO19yg3zebB1-z5nLRaNrqUvx2DQY6VYyE,Organizador,Neceser impermeable de viaje con ganchos para colgar y compartimentos de red transparentes.
bc10,Bolsa Clutch de Noche con Cadena,bolsas-carteras,230,140,105,12,https://lh3.googleusercontent.com/pw/AP1GczNt8Oo4lZCz60E_-GREGBSGBfEgcTOqw1rh1PbGO6ITfaoBsT8eNuKlNOtYgjqt3uLQAUIPEcTURrXOvp6DjDUbyB_d8IXSRRKmn31_hmMD2iMJaQk,Elegante,Bolso de mano tipo clutch para eventos de noche con cadena dorada desmontable.
bc11,Bolsa de Mano Clasica con Compartimentos,bolsas-carteras,270,170,130,12,https://lh3.googleusercontent.com/pw/AP1GczP-Wn3Li0zzDLVZMUW167vYuaJ2pm-rY50CAf0Q-7jOxtPFxUrIGIABlfu4LTryZhxpbvDQ3xIaktO7QtQzK6NoyM-xFiOv0m8yItpZITbiSwFTMXA,Mas Vendido,Bolsa de mano espaciosa con 3 divisiones principales con cierre y bolsillos laterales.
bc12,Cartera Larga con Tarjetero Expandible,bolsas-carteras,130,70,52,24,https://lh3.googleusercontent.com/pw/AP1GczN-MngpJrHmuuCG-Q0LzsVQkCx0IpVLcb80VSUTRZefgbXyOaWR8YCf2bM0FBErIC2yWkhc1JJI1ROcbKXiH4RlELc8NaEqvhgpTAfebpcCWLypQ-A,Novedad,Cartera ejecutiva larga para dama con capacidad de hasta 16 tarjetas y cierre seguro.
mc1,Mochila Escolar Reforzada,mochilas,220,140,105,10,https://lh3.googleusercontent.com/pw/AP1GczOJ03-pWRDyK9mK25vw8AVPKEp2O9rWs4LwKz3R0eGFbzXPs16ankTj6h2tS6mVdmFeUZENXRzhmVZXAXyq0euIXyCrGBH6ALqv-IYymdtmiwBKzcs,Escolar,Mochila escolar de alta resistencia con costuras dobles compartimento amplio y tirantes acolchados.
mc2,Mochila Ejecutiva Porta-Laptop,mochilas,320,195,150,10,https://lh3.googleusercontent.com/pw/AP1GczNg7ZjLULu239rlOpcraqFLxeyEXwwxnT_fz-Cyx0rj_rXPsm7kSFm8NjKiFjUUBxtba8QxE1J560kzUYe2E9E8hvwmRaH8hqvV_lbQ71mW1ZUWSaE,Impermeable,Mochila ejecutiva impermeable con compartimento acolchado para laptop de 15.6 pulgadas y puerto USB.
mc3,Mochila Infantil de Ruedas,mochilas,350,220,175,8,https://lh3.googleusercontent.com/pw/AP1GczPvhKPwfup1ln3GRxVA11t7QsmwJ-5SU_D5Lqu9rFYe5a7updclJ1R-9TYOAfSTfaL55eIZkTHWqtZyotHaI0rfbAefEjCa7y7ZSuhrm5jrt0tnBEw,Infantil,Mochila con carrito de aluminio reforzado ruedas de gel silenciosas de alta durabilidad.
mc4,Mochila Deportiva Ligera,mochilas,160,95,70,20,https://lh3.googleusercontent.com/pw/AP1GczOB2FphTvhTd1RHYBspY5V_JKwDCJkxx2J8UjVnt3kAfAyblwEOVnve0-mTmaoKKkkZWiQLz-hVGXy3Hz3TOxtP1B0U8B01KqbhBcQUWBx80C9crII,Liquidacion,Mochila ultra ligera de nylon de alta densidad ideal para entrenamientos o paseos cortos.
mc5,Mochila Militar Tactica Impermeable,mochilas,380,240,185,8,https://lh3.googleusercontent.com/pw/AP1GczPEctlAcqoCUeSM-GP1-TaX9emhStWMbB-I207zdNJ0GCVoOAOK17vKn6OO03Gj0nDnOd6ApKDOr12xTLRMkJzG3CNR-HitAPdWBq3MpAbJBYbAHJc,Ruda,Mochila tactica de poliester militar 600D compartimentos multiples y sistema MOLLE.
mc6,Mochila de Hombro Cruzada,mochilas,150,85,62,20,https://lh3.googleusercontent.com/pw/AP1GczOSNLmS-mWmOanWwG5IHW5l0_6vV4f1suIlLN9TwwLAQTS1X_soYB_rlPjC6gnfsE-anoIMrBeeGGdSQewksavh5LzqosR5-2zZ-ebevfKdQQrLwrE,Novedad,Mochila cruzada tipo mariconera con puerto USB y diseno ergonomico antirrobo.
mc7,Mochila Escolar Kawaii con Llavero,mochilas,240,150,115,12,https://lh3.googleusercontent.com/pw/AP1GczOxDkMLYzDeoEznu5FvN_UKkQi1DL5myv_M89X0nwpn8HY1hjBoZhkCL6Q5kc2Ec8oCMGftHejdMRlKnwIo5LjLFUs7w-HRuF-fjR6KU1FMyLcHxEA,Infantil,Mochila escolar de diseno kawaii con compartimento para termos y llavero de peluche incluido.
mc8,Mochila de Viaje Expandible 40L,mochilas,450,280,220,8,https://lh3.googleusercontent.com/pw/AP1GczOUNfe-kMxIw9-t9PXLcFcNjGWaoiu9ogiVv9Bmo5lPoYbr54N_JXNU9LNLMgUrRm7ymWySxjILLlEDgxrqS1wklSVo8bmjY9QI7kDErssU1We7lvI,Viajero,Mochila de viaje expandible apta para cabina de avion correas de compresion y organizadores.
mc9,Mochila Basica Universitaria,mochilas,180,110,85,15,https://lh3.googleusercontent.com/pw/AP1GczMm4nnCZm_55enYotqmiVgpQZiB0IWjAjd9E7y_syFwiGwDTfQxO84iIdLyFiN5mYl65o66BZYQRytttPSSZYfOHN1czDAMPCALXmKb0PBHi1XVsMQ,Oferta,Mochila escolar clasica de lona resistente ideal para preparatoria o universidad.
mc10,Mochila de Ruedas Juvenil 3D,mochilas,360,230,180,8,https://lh3.googleusercontent.com/pw/AP1GczOV1RcAymXKlT2C5GHwtqlSQKAtqPswVjCbyAH43uUJgMq-iilWf2olj9h1bBO5fmPLrgQjz0I6CfO0kh2iRE1RrwDhSUYvzwrySrjJLnFSiOrLYnI,Escolar,Mochila con ruedas con diseno frontal en relieve 3D baston de aluminio de doble nivel.
mc11,Pañalera Mochila Multifuncional,mochilas,340,210,160,10,https://lh3.googleusercontent.com/pw/AP1GczM7W2MMgq3E5ZB15usNT1Lfih9XmgYvHj9Ahb7ERaHUmf73S5dxVCpqk0rHthKdIxgBC09F3gesaA2teuWVoLTxNXBqXTk4kMSkB9KvPVBZbdyLvss,Para Bebes,Mochila panalera con bolsillos termicos para biberones y dispensador de toallitas humedas.
mc12,Mochila Mini de Moda para Dama,mochilas,190,115,88,15,https://lh3.googleusercontent.com/pw/AP1GczPcutItZz3Gnp9w87S56e5O36X8d__mprESIVhe1M878pFXggDlV4u98e7EW3cMGczMvzWYs0n9lZHmrRDe00FaAHYXrNCEAk0wocrRdMqdR3TtALc,Tendencia,Mochila miniatura de tactopiel suave con estoperoles decorativos y tirantes ajustables.
ac1,Audifonos Bluetooth Diadema Pro,accesorios-mas,170,90,72,12,https://lh3.googleusercontent.com/pw/AP1GczOrqBOAdEVmJqxj47MiJ6XYjDfIaKzRE-kK0qYBbK-VAy4HgLZAx7Ddyqmfgcy8vneBdNcwaaYmdG7YcrSKy-imKomsTr2b6T0Z_RxBzoYFSwkUqIE,Tecnologia,Audifonos inalambricos recargables con microfono manos libres y cancelacion de ruido pasiva.
ac2,Termo de Acero Inoxidable con Temp.,accesorios-mas,130,75,58,24,https://lh3.googleusercontent.com/pw/AP1GczNiH7KvjgTNHhX7DKSxZ9AY4wBtQzlOgSYssVny8GQBZ4gqjzrBkO--SLc79uUoer_rtiQOlLP4nOcUpOhsHEueAtWO2VHKCaUpXcPjlsEVvTGo254,Ecologico,Termo inteligente de acero inoxidable con sensor de temperatura LED tactil en tapa.
ac3,Set de Brochas de Maquillaje (12 pzs),accesorios-mas,95,50,38,20,https://lh3.googleusercontent.com/pw/AP1GczPgVsVZADJo-733pyd3kasgvIZdVfvqJkmSBkDm0bgUm0YTElAPVP075ZKFwSW_P5mrcuxKF5YibC0Yyroihbs4E8zEnz_TbH7Jf2lYp6_tIxgavew,Belleza,Estuche portatil con 12 brochas profesionales de cerdas sinteticas suaves y mangos de madera.
ac4,Luz Led de Lectura Recargable,accesorios-mas,70,35,24,30,https://lh3.googleusercontent.com/pw/AP1GczMszmTT5pr0JO4Ilv6q_ILs7TEUJLD_ef6AGutE3_4WsSmiojWFEF5qKAwJseXL-O119sb7CutIjwiqK77Aek5GZsCOfHGVrCYwtjJzd_X8-U8KzUI,Hogar,Lampara de lectura con clip de sujecion bateria recargable por USB y 3 intensidades de luz.
ac5,Cargador Portatil Powerbank 10000mAh,accesorios-mas,180,110,88,15,https://lh3.googleusercontent.com/pw/AP1GczMdhmBpVFmgZCpxhEU6o6xnuDMwAogP9-qY7uoLTJZtuda5yQhF_bYDyKKj6_nKKFmRZKE1i-gJKz6-mVoe7_q7BVhdoqjZHm9tNVWFEXrFBt2ljDM,Tecnologia,Bateria externa powerbank con doble salida USB y carga rapida 2A compatible con Android/iOS.
ac6,Humidificador Difusor Ultrasónico,accesorios-mas,150,85,65,16,https://lh3.googleusercontent.com/pw/AP1GczPw5BYlO4_NH-CCSvPJTA0JrLEmVZ6nQcHP4kS56uxRPtVh8y8x5ZaYQZtUZOjcetMtBvivzlteHJq8o3IXmC6GRdCTEGTElOsh3FGHRaQnmzZnqHc,Hogar,Difusor de aroma y humidificador con luces LED de colores y conexion USB para oficina u hogar.
ac7,Soporte de Celular para Auto con Pinza,accesorios-mas,80,40,28,30,https://lh3.googleusercontent.com/pw/AP1GczOz1wQAWPj-G2eQn0gbYxyLhRUmSh6iUtPksY9ITpWqobLvoUO8Bp5tDQc07OW41nlJz1GxbaM86xrowYDp22pE9WoCxLeYNBRG3cCLmahbHOLao9w,Novedad,Soporte universal para rejilla de aire acondicionado con pinzas de ajuste automatico por gravedad.
ac8,Mini Bocina Bluetooth Impermeable,accesorios-mas,160,95,72,20,https://lh3.googleusercontent.com/pw/AP1GczORknH0MNsO5Y7s94M4cDpzttW-22nlZlKB05UTzw4_aTLGwSEJR-WT9xQ8Bv1ZYouiFLYHh6b2jOnGxqwWdCdbGdXcAT3BJm-rsHqNY2n3eUbKBWU,Musica,Bocina bluetooth portatil resistente a salpicaduras con ventosa de sujecion para ducha.
ac9,Lampara Escritorio Led Flexible,accesorios-mas,110,60,45,24,https://lh3.googleusercontent.com/pw/AP1GczPacHEwiaYr6o6Gjmt_Lt0MxOfax89UTqcrNdbNPYwqZK4P7po17YmtNLnKHH8yLQ3LA2QgRZybzJ_KHJqhi2GDVfJou-0SMmjCdrB_aZUjTGbqESE,Oficina,Lampara de escritorio recargable por USB con cuello de cisne flexible y control tactico de brillo.
ac10,Aro de Luz Led para Selfies,accesorios-mas,60,30,19,40,https://lh3.googleusercontent.com/pw/AP1GczOx90albeANBkpzsQnLwuYMDDc-6oKd9ezOrJoc9PE3JPnHvbLz5RWec8A4sefzDEaLi2HIICAxCM5OE8UJPVkExNcc9rzxNyLMOqQg1Sclbfi8lFA,Belleza,Aro de luz clip para camara frontal de celular con 3 tonos de luz para selfies y videos.
ac11,Cable USB Multi-Entrada 3 en 1,accesorios-mas,50,25,15,50,https://lh3.googleusercontent.com/pw/AP1GczN98TrX0F6GUqSZ_xfnCmY_3CUY5mXipnxWLlK0TbrHNxc0BY8REXYDtXSXg38h-jnfyj-tHHEHfofVEqFCPRLoPTIddWwbwRVnxVkZaligOCZIpiU,Oferta,Cable reforzado de nylon trenzado con conectores Tipo C Lightning y Micro USB en uno solo.
ac12,Reloj Despertador Digital Led,accesorios-mas,140,80,62,20,https://lh3.googleusercontent.com/pw/AP1GczMZKLZR2mFYnOeaTASHfwaETREMB-inSbleZlrDMr7wZsDO6WnQmzOLhlaVX_UULWHHmrGw7l8SMLn6MrfHQwm_kf8OEXIJsJFZiQ0Bk_1Bvrxq3AQ,Hogar,Reloj despertador con pantalla LED indicador de temperatura y sensor de luz nocturna.
pl1,Oso de Peluche Clasico Gigante (80cm),peluches,390,250,190,5,https://lh3.googleusercontent.com/pw/AP1GczO4jGrQQ5oCQj4XiKe3ueH4UURsliWbLu826awYbzJVfUsPWE3g-ItlwX5NPm588-O7-YTpZuP5Z7wg-m8nCCcsELyn6_cXDsiSdqdg6OXycb51oRA,Favorito,Peluche gigante de felpa ultra suave relleno de algodon antialergico de alta recuperacion.
pl2,Peluche de Aguacate Llavero,peluches,40,20,13,50,https://lh3.googleusercontent.com/pw/AP1GczMG5wiO2fxjI4nYrx2ggtQGSgIBTr7YafTs7gahxMfR_ETpf6-cF_wUyTP5tTIm03qm9sCxAxlry5aoWkgr7cx4kpjlSRzGrqdCIL-ZWS1M7XLKZ9A,Novedad,Llavero de felpa en forma de aguacate kawaii con carita sonriente ideal para detalles.
pl3,Dinosaurio de Felpa Abrazo Largo,peluches,150,85,62,12,https://lh3.googleusercontent.com/pw/AP1GczMbn1I6FJ2Gqv_jUAVvzC2V8VRiBySZ9vtA3vALUOx1wneBPiOKzJr-l2v1TDZcnO4ym5MvonhKRWACytlEMwHfzka4Y1y2gQVxyjbvKlp-6SHJPd4,Ultimas Piezas,Peluche alargado ergonomico de dinosaurio suave para abrazar al dormir.
pl4,Pulpito Reversible de Emociones,peluches,60,30,19,40,https://lh3.googleusercontent.com/pw/AP1GczMNnXFyRG2BRpiw_Jp3Rd1IpAG24cNgomuscDiAmGPlcz23v4zNJPaGRByUGYsYMB00fnv2y3YbvhiwQTDanAfAq-1ws7gjfRJIEOsN-cVW2Dmrmok,Clasico,Peluche bicolor reversible que muestra estado de animo contento o enojado.
pl5,Peluche de Unicornio de Colores (30cm),peluches,160,95,70,15,https://lh3.googleusercontent.com/pw/AP1GczPAk8B2B3q1awSlZr9jh3EwqDTZ2-uA6qcAT-8P7zhY81dcYCva13J2O_TOrz8joEuzA5ioeetUwf4pa5xERe_edqneDCYI9qEhZ-S-IgoykkeXfBM,Favorito,Lindo unicornio con detalles dorados brillosos y felpa de colores pastel antialergica.
pl6,Llavero de Peluche de Animalito Kawaii,peluches,35,18,11,60,https://lh3.googleusercontent.com/pw/AP1GczPNI8Hl9QzrqFNd68nuT5qxIWqQqe7pz2IU7pzdaAvoNopWdbFzuhLRvKolJOj1hfzGJRHl-yISNi9VJF_oAGlW8k51aSbObNI_I0-a0ICsRJOcbQs,Novedad,Llaveros de felpa de animalitos variados (pandas conejos gatitos) ideales para mochilas.
pl7,Peluche de Jirafa Gigante (60cm),peluches,280,170,130,8,https://lh3.googleusercontent.com/pw/AP1GczMdclEgLUWVG2I73ALDlBPPRYjPLk3SvBEYG9u9zkrBIyuqc5Wc1PH1cElTqOoeGlqu0dsj75QaLr4PtCWQwNprZsfK_0cjqrMecaPOdkGWrJjIbPs,Importacion,Jirafa de felpa con estructura interna suave que se mantiene de pie ideal para decoracion.
pl8,Peluche de Gato Gordo Cojin,peluches,180,110,85,12,https://lh3.googleusercontent.com/pw/AP1GczPyQJgO-geJe2D-gtqxj3n-rJCG0uwHBwU2m1VcbwmSH4NgVv_I4Tn2K8wlWVEzUlfjU2-wYD_XuR-ZaQWT-pdSZBW2r6VJdEaLZySzk67QPOnSfdM,Cozy,Cojin abrazable en forma de gato de felpa elastica supersuave relleno de algodon memory foam.
pl9,Peluche de Conejo con Orejas Largas,peluches,140,80,60,20,https://lh3.googleusercontent.com/pw/AP1GczMIcvSh5fATqTeo1D36yQnSV_f3WLOUlmUpFiIX80a9wGZqKvaLzFySUP0WMMNeGeL9c0O0ZeGWXWbKrNWMuzbRi_QXJaWOEn-Hulq7RVfxZX_sutI,Infantil,Conejo de peluche con orejas largas y caidas tela texturizada ultra tierna para bebes.
pl10,Peluche Almohada de Zanahoria Kawaii,peluches,170,100,75,12,https://lh3.googleusercontent.com/pw/AP1GczMxiY6IhSchtE8O2sWpBbPdIksDIEgJTOPCwfMGtO8FPC8s4Y7qAKU7axk_l6977JeX-zPUVjSjaiLClWlPz1QGGLYEqAwyhmM_a8lP4sy1Re8lx7Y,Novedad,Almohada con diseno de zanahoria gigante feliz ideal para recostarse o decorar la cama.
pl11,Peluche de Osito con Corazon (35cm),peluches,150,90,68,16,https://lh3.googleusercontent.com/pw/AP1GczNlmoUEiRKdxsigx_u9o1bQdtOxtNPGXwpdGJq-G6UxPZJ_nxCBXOZBnoYe-OVr6u1a6WpUd0FDc-IWYSoVbXIoB_rGIJB-OMdoPIEI5Yo9W9RmhJM,Regalo,Clasico osito de peluche cargando un corazon bordado con la frase Te Quiero.
pl12,Peluche de Ajolote Mexicano,peluches,120,68,50,20,https://lh3.googleusercontent.com/pw/AP1GczOvGs3Z0nlPe4Q3xFH3S_YeyYlnfprq1dfpGdm3-Zva9qqWf1EH3PSS2GpKQJGek0eJtpaZZKU6qYR3yvo-YUAYniOyUmhBRIy2rEjvHvRdqxWsRmI,Nacional,Peluche de ajolote kawaii con branquias de felpa suave y colores vibrantes rosados.
